row_count,field_count,field_name_values,demolition_date_min,demolition_date_max,neighborhood_unique_count,neighborhood_unique_values
1984,6,id,1/14/2004,12/31/2014,93,NULL
,,city,,,,Alameda
,,demolition_date,,,,Arbor Lodge
,,record_count,,,,Ardenwald-Johnson Creek
,,neighborhood,,,,Argay
,,address,,,,Arlington Heights
,,,,,,Arnold Creek
,,,,,,Ashcreek
,,,,,,Beaumont-Wilshire
,,,,,,Boise
,,,,,,Brentwood-Darlington
,,,,,,Bridgeton
,,,,,,Bridlemile
,,,,,,Brooklyn
,,,,,,Buckman
,,,,,,Cathedral Park
,,,,,,Centennial
,,,,,,Collins View
,,,,,,Concordia
,,,,,,Creston-Kenilworth
,,,,,,Crestwood
,,,,,,Cully
,,,,,,East Columbia
,,,,,,Eastmoreland
,,,,,,Eliot
,,,,,,Englewood Area
,,,,,,Far Southwest
,,,,,,Forest Park
,,,,,,Foster-Powell
,,,,,,Glenfair
,,,,,,Goose Hollow
,,,,,,Grant Park
,,,,,,Gresham - Wilkes East
,,,,,,Hayden Island
,,,,,,Hayhurst
,,,,,,Hazelwood
,,,,,,Hillsdale
,,,,,,Hillside
,,,,,,Hollywood
,,,,,,Homestead
,,,,,,Hosford-Abernethy
,,,,,,Humboldt
,,,,,,Irvington
,,,,,,Kenton
,,,,,,Kerns
,,,,,,King
,,,,,,Laurelhurst
,,,,,,Lents
,,,,,,Linnton
,,,,,,Madison South
,,,,,,Maplewood
,,,,,,Marshall Park
,,,,,,Mill Park
,,,,,,Montavilla
,,,,,,Mt. Scott-Arleta
,,,,,,Mt. Tabor
,,,,,,Multnomah
,,,,,,North Tabor
,,,,,,Northwest District
,,,,,,Northwest Heights
,,,,,,Old Town/Chinatown
,,,,,,Overlook
,,,,,,Parkrose
,,,,,,Parkrose Heights
,,,,,,Piedmont
,,,,,,Pleasant Valley
,,,,,,Portland Downtown
,,,,,,Portland Unclaimed #5
,,,,,,Portsmouth
,,,,,,Powellhurst-Gilbert
,,,,,,Reed
,,,,,,Richmond
,,,,,,Riverdale Area
,,,,,,Rose City Park
,,,,,,Roseway
,,,,,,Sabin
,,,,,,Sellwood-Moreland
,,,,,,South Burlingame
,,,,,,South Portland
,,,,,,South Tabor
,,,,,,Southwest Hills
,,,,,,St. Johns
,,,,,,Sullivan's Gulch
,,,,,,Sumner
,,,,,,Sunderland
,,,,,,Sunnyside
,,,,,,Sylvan-Highlands
,,,,,,University Park
,,,,,,Vernon
,,,,,,West Portland Park
,,,,,,Wilkes
,,,,,,Woodlawn
,,,,,,Woodstock
